region,period,total,year,month
02 aragã³n,2023-05,2.63,2023,5
02 aragã³n,2023-04,2.59,2023,4
02 aragã³n,2023-03,2.33,2023,3
02 aragã³n,2023-02,2.35,2023,2
02 aragã³n,2023-01,2.49,2023,1
02 aragã³n,2022-12,3.41,2022,12
02 aragã³n,2022-11,3.02,2022,11
02 aragã³n,2022-10,2.76,2022,10
02 aragã³n,2022-09,2.56,2022,9
02 aragã³n,2022-08,3.72,2022,8
02 aragã³n,2022-07,3.13,2022,7
02 aragã³n,2022-06,2.45,2022,6
02 aragã³n,2022-05,2.49,2022,5
02 aragã³n,2022-04,2.85,2022,4
02 aragã³n,2022-03,2.5,2022,3
02 aragã³n,2022-02,2.51,2022,2
02 aragã³n,2022-01,2.76,2022,1
02 aragã³n,2021-12,2.81,2021,12
02 aragã³n,2021-11,2.54,2021,11
02 aragã³n,2021-10,2.55,2021,10
02 aragã³n,2021-09,2.59,2021,9
02 aragã³n,2021-08,3.44,2021,8
02 aragã³n,2021-07,3.03,2021,7
02 aragã³n,2021-06,2.55,2021,6
02 aragã³n,2021-05,2.31,2021,5
02 aragã³n,2021-04,2.97,2021,4
02 aragã³n,2021-03,2.74,2021,3
02 aragã³n,2021-02,7.08,2021,2
02 aragã³n,2021-01,11.45,2021,1
02 aragã³n,2020-12,0.0,2020,12
02 aragã³n,2020-11,8.2,2020,11
02 aragã³n,2020-10,2.54,2020,10
02 aragã³n,2020-09,2.58,2020,9
02 aragã³n,2020-08,3.53,2020,8
02 aragã³n,2020-07,3.06,2020,7
02 aragã³n,2020-06,2.43,2020,6
02 aragã³n,2020-05,4.0,2020,5
02 aragã³n,2020-04,0.0,2020,4
02 aragã³n,2020-03,0.0,2020,3
02 aragã³n,2020-02,2.2,2020,2
02 aragã³n,2020-01,2.45,2020,1
